日期,城市,城市分层,省份,天气,温度,众数配送费,众数配送费门店占比
2026-07-18,泰安,三线城市,山东,晴,31,0.00,1.0
2026-07-18,唐山,三线城市,河北,多云,31,0.00,0.7143
2026-07-18,清远,三线城市,广东,雷阵雨,32,0.00,1.0
2026-07-18,柳州,三线城市,广西,阵雨,34,0.00,1.0
2026-07-18,南阳,三线城市,河南,多云,34,0.00,1.0
2026-07-18,蚌埠,三线城市,安徽,小雨,29,0.00,1.0
2026-07-18,沧州,三线城市,河北,阴,33,0.00,1.0
2026-07-18,菏泽,三线城市,山东,多云,32,0.00,1.0
2026-07-18,株洲,三线城市,湖南,小雨,35,0.00,1.0
2026-07-18,遵义,三线城市,贵州,阵雨,29,0.00,1.0
2026-07-18,驻马店,三线城市,河南,阴,33,0.00,1.0
2026-07-18,江门,三线城市,广东,雷阵雨,32,0.00,1.0
2026-07-18,潮州,三线城市,广东,雷阵雨,32,0.00,1.0
2026-07-18,威海,三线城市,山东,多云,26,0.00,1.0
2026-07-18,新乡,三线城市,河南,阴,33,0.00,1.0
2026-07-18,三亚,三线城市,海南,小雨,32,0.50,0.6667
2026-07-18,德州,三线城市,山东,多云,32,0.00,1.0
2026-07-18,邯郸,三线城市,河北,雷阵雨,32,0.00,1.0
2026-07-18,琼海,三线城市,海南,雷阵雨,35,0.00,1.0
2026-07-18,运城,三线城市,山西,多云,33,0.00,1.0
2026-07-18,西宁,四线城市,青海,晴,28,0.00,0.975
2026-07-18,云浮,四线城市,广东,雷阵雨,33,0.00,1.0
2026-07-18,自贡,四线城市,四川,阴,34,0.00,1.0
2026-07-18,衢州,四线城市,浙江,小雨,36,0.00,1.0
2026-07-18,德阳,四线城市,四川,阴,34,0.00,1.0
2026-07-18,龙岩,四线城市,福建,小雨,33,0.00,1.0
2026-07-18,宝鸡,四线城市,陕西,多云,33,0.00,1.0
2026-07-18,亳州,四线城市,安徽,晴,33,0.00,1.0
2026-07-18,益阳,四线城市,湖南,小雨,32,0.00,1.0
2026-07-18,三明,四线城市,福建,小雨,36,0.00,1.0
2026-07-18,孝感,四线城市,湖北,小雨,30,0.00,1.0
